ATADS : Airport Operations : Standard Report,,,,,,,,,,
,,,,,,,,,,
"From 1/1/2019 To 2/28/2022 | Facility=SEA, PAE, MWH",,,,,,,,,,
2020-04-07,PAE,11,1,62,19,93,36,49,85,178
2020-04-07,SEA,436,15,9,0,460,0,0,0,460
2020-04-08,MWH,0,2,12,5,19,3,0,3,22
2020-04-08,PAE,12,2,131,12,157,54,22,76,233
2020-04-08,SEA,423,10,14,0,447,0,0,0,447
2020-04-09,MWH,0,2,5,0,7,10,0,10,17
2020-04-09,PAE,16,1,142,0,159,38,2,40,199
2020-04-09,SEA,395,14,12,0,421,0,0,0,421
2020-04-10,MWH,0,2,8,0,10,0,0,0,10
2020-04-10,PAE,18,2,99,0,119,15,0,15,134
2020-04-10,SEA,400,9,7,0,416,0,0,0,416
2020-04-11,MWH,0,0,6,0,6,0,0,0,6
2020-04-11,PAE,11,2,66,0,79,10,0,10,89
2020-04-11,SEA,362,5,5,0,372,0,0,0,372
2020-04-12,MWH,0,0,9,0,9,8,0,8,17
2020-04-12,PAE,3,0,130,0,133,33,0,33,166
2020-04-12,SEA,369,1,8,0,378,0,0,0,378
2020-04-13,MWH,6,2,8,2,18,0,0,0,18
2020-04-13,PAE,2,0,69,0,71,21,0,21,92
2020-04-13,SEA,379,10,4,0,393,0,0,0,393
2020-04-14,MWH,6,3,12,12,33,0,0,0,33
2020-04-14,PAE,9,1,63,6,79,25,11,36,115
2020-04-14,SEA,389,14,8,0,411,0,0,0,411
2020-04-15,MWH,0,2,4,5,11,1,0,1,12
2020-04-15,PAE,8,0,83,0,91,37,0,37,128
2020-04-15,SEA,371,10,9,0,390,0,0,0,390
2020-04-16,MWH,18,3,28,13,62,16,0,16,78
2020-04-16,PAE,20,0,152,0,172,63,0,63,235
2020-04-16,SEA,363,12,15,0,390,0,0,0,390
2020-04-17,MWH,0,2,6,0,8,0,0,0,8
2020-04-17,PAE,6,4,108,0,118,23,0,23,141
2020-04-17,SEA,365,10,21,0,396,0,0,0,396
2020-04-18,MWH,0,0,2,0,2,0,0,0,2
2020-04-18,PAE,7,0,47,0,54,25,0,25,79
2020-04-18,SEA,346,3,7,0,356,0,0,0,356
2020-04-19,MWH,0,0,7,0,7,0,0,0,7
2020-04-19,PAE,6,2,144,0,152,106,0,106,258
2020-04-19,SEA,361,1,15,0,377,0,0,0,377
2020-04-20,MWH,0,2,10,8,20,0,4,4,24
2020-04-20,PAE,5,2,133,0,140,53,0,53,193
2020-04-20,SEA,354,10,13,5,382,0,0,0,382
2020-04-21,MWH,0,2,15,9,26,10,22,32,58
2020-04-21,PAE,8,2,42,6,58,30,0,30,88
2020-04-21,SEA,360,16,8,1,385,0,0,0,385
2020-04-22,MWH,1,2,10,8,21,6,4,10,31
2020-04-22,PAE,8,4,10,2,24,0,0,0,24
2020-04-22,SEA,362,11,0,0,373,0,0,0,373
2020-04-23,MWH,4,4,12,14,34,9,12,21,55
2020-04-23,PAE,16,3,39,0,58,12,0,12,70
2020-04-23,SEA,380,12,2,2,396,0,0,0,396
2020-04-24,MWH,1,3,12,11,27,2,20,22,49
2020-04-24,PAE,4,2,160,0,166,112,0,112,278
2020-04-24,SEA,358,13,12,0,383,0,0,0,383
2020-04-25,MWH,0,0,3,0,3,14,0,14,17
2020-04-25,PAE,4,2,17,0,23,22,0,22,45
2020-04-25,SEA,326,7,2,0,335,0,0,0,335
2020-04-26,MWH,0,0,22,0,22,6,0,6,28
2020-04-26,PAE,4,3,120,0,127,108,0,108,235
2020-04-26,SEA,336,0,20,0,356,0,0,0,356
2020-04-27,MWH,1,3,9,28,41,13,48,61,102
2020-04-27,PAE,6,0,27,4,37,4,0,4,41
2020-04-27,SEA,338,12,2,4,356,0,0,0,356
2020-04-28,MWH,0,2,12,12,26,2,9,11,37
2020-04-28,PAE,8,0,136,11,155,78,16,94,249
2020-04-28,SEA,365,10,13,2,390,0,0,0,390
2020-04-29,MWH,0,2,26,7,35,24,0,24,59
2020-04-29,PAE,10,0,95,0,105,52,0,52,157
2020-04-29,SEA,350,10,8,0,368,0,0,0,368
2020-04-30,MWH,6,4,10,22,42,22,16,38,80
2020-04-30,PAE,6,5,79,2,92,13,0,13,105
2020-04-30,SEA,356,12,6,7,381,0,0,0,381
2020-05-01,MWH,6,2,5,0,13,0,0,0,13
2020-05-01,PAE,41,10,225,0,276,87,0,87,363
2020-05-01,SEA,394,12,17,1,424,0,0,0,424
2020-05-02,MWH,0,0,3,0,3,0,0,0,3
2020-05-02,PAE,8,0,32,0,40,8,0,8,48
2020-05-02,SEA,319,5,5,0,329,0,0,0,329
2020-05-03,MWH,0,0,4,0,4,0,0,0,4
2020-05-03,PAE,4,3,62,0,69,52,0,52,121
2020-05-03,SEA,343,1,7,0,351,0,0,0,351
2020-05-04,MWH,11,6,15,14,46,0,14,14,60
2020-05-04,PAE,26,3,104,2,135,48,0,48,183
2020-05-04,SEA,352,10,3,2,367,0,0,0,367
2020-05-05,MWH,21,5,25,12,63,0,6,6,69
2020-05-05,PAE,6,7,116,1,130,48,8,56,186
2020-05-05,SEA,349,10,14,2,375,0,0,0,375
2020-05-06,MWH,0,2,5,0,7,0,0,0,7
2020-05-06,PAE,20,3,40,6,69,59,18,77,146
2020-05-06,SEA,368,12,4,1,385,0,0,0,385
2020-05-07,MWH,0,7,25,16,48,12,10,22,70
2020-05-07,PAE,5,0,200,12,217,110,13,123,340
2020-05-07,SEA,376,11,18,0,405,0,0,0,405
2020-05-08,MWH,1,2,18,3,24,0,0,0,24
2020-05-08,PAE,7,2,224,12,245,125,16,141,386
2020-05-08,SEA,379,10,20,1,410,0,0,0,410
2020-05-09,MWH,0,0,14,0,14,0,0,0,14
2020-05-09,PAE,4,2,224,0,230,100,0,100,330
2020-05-09,SEA,337,3,19,0,359,0,0,0,359
2020-05-10,MWH,0,0,4,0,4,0,0,0,4
2020-05-10,PAE,2,1,172,0,175,165,0,165,340
2020-05-10,SEA,348,0,16,0,364,0,0,0,364
2020-05-11,MWH,0,4,14,4,22,6,2,8,30
2020-05-11,PAE,5,3,128,2,138,75,0,75,213
2020-05-11,SEA,343,11,8,0,362,0,0,0,362
2020-05-12,MWH,0,4,8,13,25,0,0,0,25
2020-05-12,PAE,23,3,70,14,110,46,0,46,156
2020-05-12,SEA,360,10,9,8,387,0,0,0,387
2020-05-13,MWH,0,3,24,9,36,0,16,16,52
2020-05-13,PAE,31,4,101,2,138,114,0,114,252
2020-05-13,SEA,380,10,4,4,398,0,0,0,398
2020-05-14,MWH,3,4,13,18,38,18,46,64,102
2020-05-14,PAE,16,4,88,4,112,154,0,154,266
2020-05-14,SEA,388,12,3,0,403,0,0,0,403
2020-05-15,MWH,0,3,26,11,40,8,2,10,50
2020-05-15,PAE,10,4,225,5,244,106,12,118,362
2020-05-15,SEA,399,10,9,6,424,0,0,0,424
2020-05-16,MWH,0,2,11,0,13,24,0,24,37
2020-05-16,PAE,3,1,97,0,101,84,0,84,185
2020-05-16,SEA,357,4,8,0,369,0,0,0,369
2020-05-17,MWH,0,0,1,0,1,0,0,0,1
2020-05-17,PAE,4,4,117,0,125,161,0,161,286
2020-05-17,SEA,378,2,9,0,389,0,0,0,389
2020-05-18,MWH,0,2,5,0,7,3,4,7,14
2020-05-18,PAE,16,4,134,0,154,243,0,243,397
2020-05-18,SEA,386,9,12,0,407,0,0,0,407
2020-05-19,MWH,0,2,23,25,50,14,18,32,82
2020-05-19,PAE,34,6,106,2,148,166,0,166,314
2020-05-19,SEA,395,11,8,1,415,0,0,0,415
2020-05-20,MWH,5,20,7,21,53,18,30,48,101
2020-05-20,PAE,11,10,70,0,91,145,0,145,236
2020-05-20,SEA,414,12,3,2,431,0,0,0,431
2020-05-21,MWH,0,27,23,2,52,54,0,54,106
2020-05-21,PAE,5,5,67,1,78,149,55,204,282
2020-05-21,SEA,424,13,6,0,443,0,0,0,443
2020-05-22,MWH,0,2,25,0,27,14,0,14,41
2020-05-22,PAE,7,6,130,0,143,295,0,295,438
2020-05-22,SEA,446,12,12,0,470,0,0,0,470
2020-05-23,MWH,0,0,24,0,24,8,0,8,32
2020-05-23,PAE,0,9,173,0,182,140,0,140,322
2020-05-23,SEA,385,5,11,0,401,0,0,0,401
2020-05-24,MWH,0,0,13,0,13,10,0,10,23
2020-05-24,PAE,0,4,180,0,184,162,0,162,346
2020-05-24,SEA,405,1,10,0,416,0,0,0,416
2020-05-25,MWH,0,0,13,0,13,0,0,0,13
2020-05-25,PAE,0,0,71,0,71,0,0,0,71
2020-05-25,SEA,409,0,2,1,412,0,0,0,412
2020-05-26,MWH,0,37,20,6,63,116,16,132,195
2020-05-26,PAE,0,13,125,3,141,183,6,189,330
2020-05-26,SEA,418,10,4,0,432,0,0,0,432
2020-05-27,MWH,2,61,32,13,108,224,12,236,344
2020-05-27,PAE,4,9,206,0,219,233,2,235,454
2020-05-27,SEA,424,11,15,0,450,0,0,0,450
2020-05-28,MWH,0,50,68,7,125,250,4,254,379
2020-05-28,PAE,9,11,207,0,227,304,0,304,531
2020-05-28,SEA,423,14,14,0,451,0,0,0,451
2020-05-29,MWH,2,4,16,6,28,2,0,2,30
2020-05-29,PAE,1,20,224,4,249,285,0,285,534
2020-05-29,SEA,431,13,28,6,478,0,0,0,478
2020-05-30,MWH,0,3,6,0,9,3,0,3,12
2020-05-30,PAE,0,4,24,0,28,20,0,20,48
2020-05-30,SEA,405,7,4,0,416,0,0,0,416
2020-05-31,MWH,0,0,3,0,3,0,0,0,3
2020-05-31,PAE,0,2,94,0,96,80,0,80,176
2020-05-31,SEA,412,0,6,0,418,0,0,0,418
2020-06-01,MWH,0,67,9,5,81,192,12,204,285
2020-06-01,PAE,22,5,156,1,184,384,0,384,568
2020-06-01,SEA,465,12,14,6,497,0,0,0,497
2020-06-02,MWH,4,100,17,5,126,246,4,250,376
2020-06-02,PAE,3,4,166,2,175,382,10,392,567
2020-06-02,SEA,495,10,3,2,510,0,0,0,510
2020-06-03,MWH,2,91,31,18,142,208,19,227,369
2020-06-03,PAE,11,5,193,3,212,333,6,339,551
2020-06-03,SEA,507,11,4,1,523,0,0,0,523
2020-06-04,MWH,0,90,30,8,128,204,2,206,334
2020-06-04,PAE,3,10,243,0,256,416,0,416,672
2020-06-04,SEA,505,12,5,7,529,0,0,0,529
2020-06-05,MWH,1,5,22,11,39,62,0,62,101
2020-06-05,PAE,17,6,201,1,225,210,0,210,435
2020-06-05,SEA,528,12,7,0,547,0,0,0,547
2020-06-06,MWH,0,0,10,1,11,2,0,2,13
2020-06-06,PAE,0,5,80,0,85,216,0,216,301
2020-06-06,SEA,492,5,4,0,501,0,0,0,501
2020-06-07,MWH,0,0,7,0,7,4,0,4,11
2020-06-07,PAE,2,4,133,0,139,188,0,188,327
2020-06-07,SEA,539,2,1,0,542,0,0,0,542
2020-06-08,MWH,2,51,15,14,82,106,0,106,188
2020-06-08,PAE,10,6,128,0,144,203,4,207,351
2020-06-08,SEA,557,14,6,1,578,0,0,0,578
2020-06-09,MWH,0,66,18,2,86,118,0,118,204
2020-06-09,PAE,2,7,46,0,55,18,0,18,73
2020-06-09,SEA,563,18,1,0,582,0,0,0,582
2020-06-10,MWH,10,56,32,8,106,152,10,162,268
2020-06-10,PAE,18,5,157,0,180,159,0,159,339
2020-06-10,SEA,571,18,4,0,593,0,0,0,593
2020-06-11,MWH,13,94,28,5,140,265,2,267,407
2020-06-11,PAE,9,4,154,0,167,374,0,374,541
2020-06-11,SEA,572,16,11,0,599,0,0,0,599
2020-06-12,MWH,2,0,30,25,57,39,36,75,132
2020-06-12,PAE,9,10,76,4,99,0,0,0,99
2020-06-12,SEA,580,9,6,0,595,0,0,0,595
2020-06-13,MWH,0,1,12,0,13,0,0,0,13
2020-06-13,PAE,0,2,85,0,87,154,0,154,241
2020-06-13,SEA,559,9,6,0,574,0,0,0,574
2020-06-14,MWH,1,0,13,0,14,6,0,6,20
2020-06-14,PAE,0,3,200,0,203,221,0,221,424
2020-06-14,SEA,585,6,3,0,594,0,0,0,594
2020-06-15,MWH,7,42,10,28,87,191,110,301,388
2020-06-15,PAE,1,10,62,9,82,29,0,29,111
2020-06-15,SEA,600,15,2,2,619,0,0,0,619
2020-06-16,MWH,1,51,14,6,72,110,4,114,186
2020-06-16,PAE,10,8,112,0,130,158,0,158,288
2020-06-16,SEA,611,16,2,0,629,0,0,0,629
2020-06-17,MWH,5,109,40,16,170,163,9,172,342
2020-06-17,PAE,3,6,296,4,309,423,21,444,753
2020-06-17,SEA,611,21,12,0,644,0,0,0,644
2020-06-18,MWH,27,119,50,15,211,312,2,314,525
2020-06-18,PAE,7,6,287,0,300,448,0,448,748
2020-06-18,SEA,618,10,16,0,644,0,0,0,644
2020-06-19,MWH,5,1,28,15,49,10,26,36,85
2020-06-19,PAE,3,8,265,7,283,305,31,336,619
2020-06-19,SEA,626,16,15,3,660,0,0,0,660
2020-06-20,MWH,1,0,42,0,43,10,0,10,53
2020-06-20,PAE,1,14,79,0,94,111,0,111,205
2020-06-20,SEA,591,7,1,0,599,0,0,0,599
2020-06-21,MWH,0,0,8,0,8,0,0,0,8
2020-06-21,PAE,4,1,127,0,132,75,0,75,207
2020-06-21,SEA,592,5,2,0,599,0,0,0,599
2020-06-22,MWH,1,105,32,8,146,369,6,375,521
2020-06-22,PAE,6,9,223,2,240,396,0,396,636
2020-06-22,SEA,636,13,8,0,657,0,0,0,657
2020-06-23,MWH,16,118,30,5,169,256,26,282,451
2020-06-23,PAE,2,5,214,0,221,357,0,357,578
2020-06-23,SEA,629,14,9,8,660,0,0,0,660
2020-06-24,MWH,6,90,25,22,143,181,20,201,344
2020-06-24,PAE,71,7,164,19,261,382,0,382,643
2020-06-24,SEA,639,16,7,8,670,0,0,0,670
2020-06-25,MWH,10,154,29,8,201,264,30,294,495
2020-06-25,PAE,10,4,249,5,268,478,24,502,770
2020-06-25,SEA,638,15,14,0,667,0,0,0,667
2020-06-26,MWH,40,95,22,44,201,246,62,308,509
2020-06-26,PAE,13,13,297,1,324,473,0,473,797
2020-06-26,SEA,648,20,4,0,672,0,0,0,672
2020-06-27,MWH,1,0,17,1,19,2,0,2,21
2020-06-27,PAE,5,4,81,0,90,2,0,2,92
2020-06-27,SEA,608,4,6,0,618,0,0,0,618
2020-06-28,MWH,0,0,5,0,5,10,0,10,15
2020-06-28,PAE,0,0,171,0,171,127,0,127,298
2020-06-28,SEA,630,1,4,0,635,0,0,0,635
2020-06-29,MWH,11,101,39,21,172,166,52,218,390
2020-06-29,PAE,1,4,142,0,147,431,0,431,578
2020-06-29,SEA,637,15,8,0,660,0,0,0,660
2020-06-30,MWH,20,96,31,23,170,222,38,260,430
2020-06-30,PAE,1,4,104,0,109,159,0,159,268
2020-06-30,SEA,629,17,3,0,649,0,0,0,649
2020-07-01,MWH,40,94,39,29,202,227,48,275,477
2020-07-01,PAE,6,6,109,2,123,245,0,245,368
2020-07-01,SEA,663,19,9,2,693,0,0,0,693
2020-07-02,MWH,0,112,21,23,156,186,72,258,414
2020-07-02,PAE,1,5,197,0,203,280,0,280,483
2020-07-02,SEA,689,18,4,0,711,0,0,0,711
2020-07-03,MWH,3,0,27,2,32,0,0,0,32
2020-07-03,PAE,0,4,179,0,183,444,0,444,627
2020-07-03,SEA,705,13,4,0,722,0,0,0,722
2020-07-04,MWH,0,1,25,0,26,17,0,17,43
2020-07-04,PAE,0,0,166,0,166,114,0,114,280
2020-07-04,SEA,601,4,5,0,610,0,0,0,610
2020-07-05,MWH,0,1,22,0,23,8,0,8,31
2020-07-05,PAE,0,3,284,0,287,140,0,140,427
2020-07-05,SEA,665,3,11,0,679,0,0,0,679
2020-07-06,MWH,23,123,26,1,173,217,0,217,390
2020-07-06,PAE,4,6,223,16,249,311,0,311,560
2020-07-06,SEA,690,12,8,0,710,0,0,0,710
2020-07-07,MWH,9,108,24,15,156,279,21,300,456
2020-07-07,PAE,5,9,60,0,74,118,0,118,192
2020-07-07,SEA,708,13,5,0,726,0,0,0,726
2020-07-08,MWH,22,155,34,36,247,230,93,323,570
2020-07-08,PAE,5,5,161,4,175,436,0,436,611
2020-07-08,SEA,721,11,8,0,740,0,0,0,740
2020-07-09,MWH,0,110,28,29,167,282,85,367,534
2020-07-09,PAE,1,10,109,5,125,305,9,314,439
2020-07-09,SEA,716,11,9,2,738,0,0,0,738
2020-07-10,MWH,8,91,33,14,146,146,34,180,326
2020-07-10,PAE,1,11,238,0,250,360,0,360,610
2020-07-10,SEA,746,14,11,0,771,0,0,0,771
2020-07-11,MWH,4,17,11,24,56,5,34,39,95
2020-07-11,PAE,3,3,239,0,245,272,0,272,517
2020-07-11,SEA,697,7,8,0,712,0,0,0,712
2020-07-12,MWH,0,0,20,2,22,6,0,6,28
2020-07-12,PAE,3,0,127,2,132,96,0,96,228
2020-07-12,SEA,710,5,3,0,718,0,0,0,718
2020-07-13,MWH,18,143,21,33,215,318,28,346,561
2020-07-13,PAE,3,7,178,0,188,458,0,458,646
2020-07-13,SEA,717,13,11,0,741,0,0,0,741
2020-07-14,MWH,21,91,21,21,154,184,24,208,362
2020-07-14,PAE,28,7,194,2,231,407,0,407,638
2020-07-14,SEA,702,16,9,1,728,0,0,0,728
2020-07-15,MWH,35,122,23,21,201,379,29,408,609
2020-07-15,PAE,17,12,223,0,252,560,0,560,812
2020-07-15,SEA,750,12,10,2,774,0,0,0,774
2020-07-16,MWH,32,96,39,30,197,319,18,337,534
2020-07-16,PAE,14,10,179,0,203,377,0,377,580
2020-07-16,SEA,760,14,9,2,785,0,0,0,785
2020-07-17,MWH,23,92,17,4,136,150,8,158,294
2020-07-17,PAE,9,15,131,0,155,265,0,265,420
2020-07-17,SEA,774,12,6,0,792,0,0,0,792
2020-07-18,MWH,0,0,23,2,25,8,20,28,53
2020-07-18,PAE,0,3,249,0,252,207,0,207,459
2020-07-18,SEA,733,10,11,0,754,0,0,0,754
2020-07-19,MWH,0,2,17,0,19,11,0,11,30
2020-07-19,PAE,1,4,234,0,239,112,0,112,351
2020-07-19,SEA,742,7,9,0,758,0,0,0,758
2020-07-20,MWH,14,89,24,2,129,35,4,39,168
2020-07-20,PAE,7,5,201,1,214,246,0,246,460
2020-07-20,SEA,759,16,6,0,781,0,0,0,781
2020-07-21,MWH,10,126,19,6,161,148,2,150,311
2020-07-21,PAE,6,6,237,1,250,315,0,315,565
2020-07-21,SEA,730,14,22,2,768,0,0,0,768
2020-07-22,MWH,2,104,21,23,150,180,19,199,349
2020-07-22,PAE,2,8,84,0,94,118,0,118,212
2020-07-22,SEA,750,13,3,0,766,0,0,0,766
2020-07-23,MWH,27,109,17,30,183,157,27,184,367
2020-07-23,PAE,13,10,95,1,119,273,0,273,392
2020-07-23,SEA,760,14,5,0,779,0,0,0,779
2020-07-24,MWH,74,95,45,26,240,220,14,234,474
2020-07-24,PAE,8,8,152,2,170,253,0,253,423
2020-07-24,SEA,777,17,3,2,799,0,0,0,799
2020-07-25,MWH,40,1,28,1,70,6,0,6,76
2020-07-25,PAE,0,7,290,1,298,160,0,160,458
2020-07-25,SEA,727,5,8,0,740,0,0,0,740
2020-07-26,MWH,14,4,9,1,28,13,0,13,41
2020-07-26,PAE,4,0,245,0,249,180,0,180,429
2020-07-26,SEA,752,6,10,0,768,0,0,0,768
2020-07-27,MWH,27,116,16,23,182,176,40,216,398
2020-07-27,PAE,2,11,227,2,242,293,0,293,535
2020-07-27,SEA,758,12,12,0,782,0,0,0,782
2020-07-28,MWH,10,128,34,16,188,267,34,301,489
2020-07-28,PAE,7,10,218,2,237,281,0,281,518
2020-07-28,SEA,749,11,7,0,767,0,0,0,767
2020-07-29,MWH,22,100,36,20,178,189,37,226,404
2020-07-29,PAE,4,5,258,0,267,400,0,400,667
2020-07-29,SEA,759,19,7,0,785,0,0,0,785
2020-07-30,MWH,26,70,29,2,127,87,0,87,214
2020-07-30,PAE,15,9,249,2,275,332,0,332,607
2020-07-30,SEA,781,14,9,4,808,0,0,0,808
2020-07-31,MWH,25,26,28,28,107,16,53,69,176
2020-07-31,PAE,4,5,260,2,271,323,8,331,602
2020-07-31,SEA,790,14,14,0,818,0,0,0,818
2020-08-01,MWH,33,3,19,5,60,0,0,0,60
2020-08-01,PAE,15,6,204,0,225,136,0,136,361
2020-08-01,SEA,818,12,6,0,836,0,0,0,836
2020-08-02,MWH,23,0,18,5,46,0,0,0,46
2020-08-02,PAE,12,2,248,0,262,253,0,253,515
2020-08-02,SEA,888,1,3,0,892,0,0,0,892
2020-08-03,MWH,43,2,31,23,99,14,22,36,135
2020-08-03,PAE,13,6,156,1,176,139,10,149,325
2020-08-03,SEA,896,14,5,1,916,0,0,0,916
2020-08-04,MWH,49,5,36,16,106,59,23,82,188
2020-08-04,PAE,8,6,180,2,196,248,6,254,450
2020-08-04,SEA,856,16,12,1,885,0,0,0,885
2020-08-05,MWH,60,12,31,34,137,20,85,105,242
2020-08-05,PAE,9,7,232,0,248,350,0,350,598
2020-08-05,SEA,859,15,16,1,891,0,0,0,891
2020-08-06,MWH,17,1,12,62,92,0,90,90,182
2020-08-06,PAE,16,4,89,0,109,99,0,99,208
2020-08-06,SEA,903,13,8,0,924,0,0,0,924
2020-08-07,MWH,2,16,21,18,57,12,30,42,99
2020-08-07,PAE,10,8,218,2,238,329,16,345,583
2020-08-07,SEA,913,12,3,0,928,0,0,0,928
2020-08-08,MWH,0,1,13,5,19,10,6,16,35
2020-08-08,PAE,7,6,128,0,141,174,0,174,315
2020-08-08,SEA,881,6,0,0,887,0,0,0,887
2020-08-09,MWH,20,21,28,4,73,30,0,30,103
2020-08-09,PAE,11,0,276,0,287,161,0,161,448
2020-08-09,SEA,894,5,5,0,904,0,0,0,904
2020-08-10,MWH,57,23,48,18,146,6,0,6,152
2020-08-10,PAE,18,6,222,0,246,288,0,288,534
2020-08-10,SEA,875,22,9,1,907,0,0,0,907
2020-08-11,MWH,23,18,36,50,127,28,70,98,225
2020-08-11,PAE,6,3,172,2,183,235,4,239,422
2020-08-11,SEA,840,11,6,1,858,0,0,0,858
2020-08-12,MWH,20,7,29,36,92,42,45,87,179
2020-08-12,PAE,13,10,206,2,231,328,0,328,559
2020-08-12,SEA,849,18,4,4,875,0,0,0,875
2020-08-13,MWH,20,19,25,30,94,38,78,116,210
2020-08-13,PAE,15,11,229,0,255,397,0,397,652
2020-08-13,SEA,892,20,6,0,918,0,0,0,918
2020-08-14,MWH,23,7,31,65,126,19,109,128,254
2020-08-14,PAE,13,8,244,2,267,390,0,390,657
2020-08-14,SEA,894,15,11,0,920,0,0,0,920
2020-08-15,MWH,14,5,19,7,45,10,10,20,65
2020-08-15,PAE,10,7,258,0,275,302,0,302,577
2020-08-15,SEA,852,12,4,0,868,0,0,0,868
2020-08-16,MWH,0,1,13,1,15,0,0,0,15
2020-08-16,PAE,5,3,236,0,244,241,0,241,485
2020-08-16,SEA,872,9,3,0,884,0,0,0,884
2020-08-17,MWH,12,12,41,42,107,0,88,88,195
2020-08-17,PAE,8,8,238,0,254,304,0,304,558
2020-08-17,SEA,851,11,7,0,869,0,0,0,869
2020-08-18,MWH,32,10,35,65,142,38,116,154,296
2020-08-18,PAE,21,8,218,1,248,424,2,426,674
2020-08-18,SEA,837,12,4,0,853,0,0,0,853
2020-08-19,MWH,29,9,44,45,127,16,52,68,195
2020-08-19,PAE,15,5,242,3,265,375,0,375,640
2020-08-19,SEA,834,23,6,2,865,0,0,0,865
2020-08-20,MWH,32,12,21,47,112,38,50,88,200
2020-08-20,PAE,13,13,199,7,232,400,0,400,632
2020-08-20,SEA,866,12,4,0,882,0,0,0,882
2020-08-21,MWH,44,4,21,22,91,22,38,60,151
2020-08-21,PAE,17,6,99,2,124,26,2,28,152
2020-08-21,SEA,881,12,4,0,897,0,0,0,897
2020-08-22,MWH,1,8,30,8,47,22,0,22,69
2020-08-22,PAE,10,6,221,0,237,317,8,325,562
2020-08-22,SEA,843,12,4,2,861,0,0,0,861
2020-08-23,MWH,4,1,43,4,52,14,14,28,80
2020-08-23,PAE,10,1,244,0,255,229,8,237,492
2020-08-23,SEA,857,7,4,0,868,0,0,0,868
2020-08-24,MWH,11,1,38,28,78,15,66,81,159
2020-08-24,PAE,23,12,216,6,257,365,0,365,622
2020-08-24,SEA,845,10,6,0,861,0,0,0,861
2020-08-25,MWH,39,3,39,65,146,27,36,63,209
2020-08-25,PAE,9,4,248,0,261,432,0,432,693
2020-08-25,SEA,825,14,6,0,845,0,0,0,845
2020-08-26,MWH,94,15,47,85,241,16,42,58,299
2020-08-26,PAE,14,12,261,0,287,324,0,324,611
2020-08-26,SEA,830,16,30,0,876,0,0,0,876
2020-08-27,MWH,22,6,56,64,148,56,54,110,258
2020-08-27,PAE,12,5,223,1,241,422,26,448,689
2020-08-27,SEA,870,13,7,0,890,0,0,0,890
2020-08-28,MWH,55,7,35,27,124,44,58,102,226
2020-08-28,PAE,12,6,230,1,249,249,12,261,510
2020-08-28,SEA,873,12,7,0,892,0,0,0,892
2020-08-29,MWH,39,4,28,2,73,0,0,0,73
2020-08-29,PAE,8,3,221,0,232,313,0,313,545
2020-08-29,SEA,842,12,6,0,860,0,0,0,860
2020-08-30,MWH,5,0,18,3,26,6,0,6,32
2020-08-30,PAE,7,2,250,0,259,288,0,288,547
2020-08-30,SEA,858,6,5,1,870,0,0,0,870
2020-08-31,MWH,30,9,7,39,85,16,76,92,177
2020-08-31,PAE,16,3,123,0,142,268,0,268,410
2020-08-31,SEA,858,18,9,1,886,0,0,0,886
2020-09-01,MWH,116,21,27,47,211,40,40,80,291
2020-09-01,PAE,5,6,235,2,248,415,0,415,663
2020-09-01,SEA,825,16,6,0,847,0,0,0,847
2020-09-02,MWH,119,6,23,75,223,4,92,96,319
2020-09-02,PAE,13,4,190,1,208,211,6,217,425
2020-09-02,SEA,828,12,5,2,847,0,0,0,847
2020-09-03,MWH,48,13,27,31,119,20,26,46,165
2020-09-03,PAE,7,4,238,0,249,284,0,284,533
2020-09-03,SEA,871,14,12,0,897,0,0,0,897
2020-09-04,MWH,46,11,39,0,96,21,0,21,117
2020-09-04,PAE,14,5,256,2,277,336,0,336,613
2020-09-04,SEA,880,12,9,0,901,0,0,0,901
2020-09-05,MWH,3,7,13,4,27,6,32,38,65
2020-09-05,PAE,6,2,176,0,184,311,0,311,495
2020-09-05,SEA,818,13,5,0,836,0,0,0,836
2020-09-06,MWH,0,1,23,1,25,3,0,3,28
2020-09-06,PAE,6,2,179,0,187,172,0,172,359
2020-09-06,SEA,811,6,6,0,823,0,0,0,823
2020-09-07,MWH,14,2,13,1,30,0,0,0,30
2020-09-07,PAE,6,1,97,0,104,23,0,23,127
2020-09-07,SEA,830,8,1,0,839,0,0,0,839
2020-09-08,MWH,49,6,23,29,107,0,13,13,120
2020-09-08,PAE,9,6,147,4,166,263,0,263,429
2020-09-08,SEA,795,18,4,0,817,0,0,0,817
2020-09-09,MWH,48,4,7,44,103,0,58,58,161
2020-09-09,PAE,13,5,184,0,202,409,0,409,611
2020-09-09,SEA,801,14,3,0,818,0,0,0,818
2020-09-10,MWH,74,13,28,39,154,7,24,31,185
2020-09-10,PAE,14,8,166,0,188,356,0,356,544
2020-09-10,SEA,832,22,4,0,858,0,0,0,858
2020-09-11,MWH,14,11,17,40,82,34,30,64,146
2020-09-11,PAE,7,6,56,6,75,2,0,2,77
2020-09-11,SEA,839,13,2,0,854,0,0,0,854
2020-09-12,MWH,0,1,5,0,6,0,0,0,6
2020-09-12,PAE,8,1,4,0,13,0,0,0,13
2020-09-12,SEA,756,6,3,0,765,0,0,0,765
2020-09-13,MWH,0,1,3,0,4,0,0,0,4
2020-09-13,PAE,4,0,10,0,14,0,0,0,14
2020-09-13,SEA,753,3,3,0,759,0,0,0,759
